lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01002725,0.025735294117647058,0.028676470588235293,0.020588235294117647,0.005147058823529412,0.03897058823529412
E01002726,0.025730994152046785,0.01871345029239766,0.01695906432748538,0.0023391812865497076,0.0152046783625731
E01002727,0.013192612137203167,0.032981530343007916,0.017810026385224276,0.005936675461741424,0.021108179419525065
E01002728,0.0204855842185129,0.06980273141122914,0.027314112291350532,0.012139605462822459,0.04021244309559939
E01002729,0.013377926421404682,0.016722408026755852,0.01137123745819398,0.006688963210702341,0.013377926421404682
E01002730,0.02226027397260274,0.0319634703196347,0.014269406392694063,0.010273972602739725,0.01598173515981735
E01002732,0.06087437742114001,0.016048699501936912,0.011068068622025456,0.006640841173215274,0.02213613724405091
E01002733,0.010402219140083218,0.038834951456310676,0.02912621359223301,0.005547850208044383,0.02288488210818308
E01002734,0.03340380549682875,0.017758985200845664,0.01945031712473573,0.0038054968287526427,0.03932346723044398
E01002735,0.014198782961460446,0.0392156862745098,0.016227180527383367,0.008451656524678837,0.09837728194726167
E01002736,0.04952510176390773,0.03459972862957938,0.0033921302578018998,0.007462686567164179,0.022388059701492536
E01002737,0.08320493066255778,0.012840267077555213,0.0035952747817154596,0.005136106831022085,0.027221366204417053
E01002738,0.026203208556149733,0.016042780748663103,0.017112299465240642,0.0032085561497326204,0.02406417112299465
E01002739,0.00760043431053203,0.009771986970684038,0.02008686210640608,0.0043431053203040176,0.013029315960912053
E01002740,0.005309734513274336,0.02079646017699115,0.023451327433628318,0,0.017699115044247787
E01002741,0.031942633637548894,0.011734028683181226,0.00651890482398957,0.007170795306388526,0.02607561929595828
E01002742,0.007492507492507493,0.002997002997002997,0.016483516483516484,0.001998001998001998,0.008991008991008992
E01002743,0.02289077828646174,0.009810333551340745,0.02158273381294964,0.0013080444735120995,0.020928711576193592
E01002744,0.0136986301369863,0.0121765601217656,0.0197869101978691,7.6103500761035e-4,0.0197869101978691
E01002745,0.011315417256011316,0.010608203677510608,0.01768033946251768,0.005657708628005658,0.011315417256011316
E01002747,0.02560819462227913,0.01792573623559539,0.01088348271446863,0.0076824583866837385,0.04033290653008963
E01002748,0.07441016333938294,0.021778584392014518,0.012099213551119177,0.009679370840895343,0.029643073200241985
E01002749,0.01247537754432042,0.01247537754432042,0.019041365725541694,0.005252790544977019,0.018384766907419567
E01002751,0.032082653616095705,0.022838499184339316,0.008156606851549755,0.0076128330614464385,0.028820010875475803
E01002752,0.0525990099009901,0.012995049504950494,0.01608910891089109,0.0024752475247524753,0.022896039603960396
E01002753,0.03250345781466114,0.01590594744121715,0.008298755186721992,0.002074688796680498,0.030428769017980636
E01002754,0.012242268041237113,0.006443298969072165,0.01675257731958763,0,0.027061855670103094
E01002755,0.02725208175624527,0.00757002271006813,0.014383043149129448,0,0.021196063588190765
E01002756,0.012185833968012186,0.006092916984006093,0.012947448591012947,0,0.01827875095201828
E01002757,0.038700760193503804,0.006910850034554251,0.011748445058742226,0.00414651002073255,0.014512785072563926
E01002758,0.03742084052964882,0.008059873344847437,0.016119746689694875,0.0034542314335060447,0.039723661485319514
E01002759,0.0145791915175613,0.008614976805831677,0.02253147779986746,0.0013253810470510272,0.011928429423459244
E01002760,0.04092219020172911,0.012680115273775217,0.01095100864553314,0.0069164265129683,0.014985590778097982
E01002762,0.03464818763326226,0.01279317697228145,0.017590618336886993,0.0021321961620469083,0.026652452025586353
E01002763,0.02227342549923195,0.0314900153609831,0.015360983102918587,0.006144393241167435,0.018433179723502304
E01002764,0.043502202643171804,0.012114537444933921,0.020374449339207047,0.005506607929515419,0.0236784140969163
E01002765,0.04200210010500525,0.07315365768288415,0.03430171508575429,0.010150507525376268,0.032201610080504026
E01002766,0.03209536909674461,0.015589179275561669,0.016047684548372305,0.007794589637780834,0.02567629527739569
E01002767,0.03347280334728033,0.046490004649000466,0.0199907019990702,0.0023245002324500234,0.02603440260344026
E01002768,0.009305210918114143,0.01054590570719603,0.019851116625310174,0,0.024193548387096774
E01002769,0.0016155088852988692,0.041464728056004305,0.01938610662358643,0.0026925148088314485,0.01830910070005385
E01002770,0.006497022198159177,0.028695181375203032,0.03194369247428262,0.008662696264212236,0.024363833243096916
E01002771,0.01878238341968912,0.012953367875647668,0.022020725388601035,0.0038860103626943004,0.014896373056994818
E01002772,0.007953340402969246,0.01855779427359491,0.031813361611876985,0.005302226935312832,0.024920466595970307
E01002773,0.02984165651644336,0.012180267965895249,0.014007308160779537,0.0036540803897685747,0.021315468940316686
E01002774,0.019158878504672898,0.016355140186915886,0.019626168224299065,0.003738317757009346,0.03457943925233645
E01002775,0.010630758327427357,0.012048192771084338,0.01913536498936924,7.087172218284905e-4,0.014174344436569808
E01002776,0.028002154011847066,0.01723209477652127,0.017770597738287562,0.004308023694130318,0.015078082929456112
E01002777,0.015540944411237299,0.010161386730424387,0.010161386730424387,0.002988643156007173,0.015540944411237299
E01002778,0.05621454357916452,0.006188757091284167,0.010314595152140279,0.0015471892728210418,0.01598762248581743
E01002779,0.021118721461187213,0.014269406392694063,0.023972602739726026,0.007420091324200913,0.016552511415525113
E01002780,0.028874484384207425,0.009428403064230996,0.01473187978786093,0.00648202710665881,0.015910430170889805
E01002781,0.02929350947731189,0.007466973004020678,0.0068925904652498565,5.743825387708214e-4,0.022975301550832855
E01002782,0.03347280334728033,0.006276150627615063,0.0048814504881450485,0.0041841004184100415,0.02510460251046025
E01002783,0.01522248243559719,0.01288056206088993,0.019320843091334895,0.001756440281030445,0.026932084309133488
E01002784,0.029595902105862264,0.016505406943653957,0.01309049516220831,0.004553215708594195,0.01707455890722823
E01002785,0.004838709677419355,0.01935483870967742,0.013440860215053764,0.0016129032258064516,0.015053763440860216
E01002786,0.02942694889003614,0.012906556530717605,0.014455343314403717,0.006711409395973154,0.020650490449148167
E01002787,0.032564450474898234,0.021709633649932156,0.0203527815468114,0.0013568521031207597,0.014246947082767978
E01002788,5.491488193300384e-4,0.017023613399231193,0.017023613399231193,0.002196595277320154,0.014277869302580999
E01002789,0.003789929615592853,0.007579859231185706,0.015159718462371413,0.004872766648619383,0.01570113697888468
