msoa21cd,eur21,pop21
E02006799,1730,12041
E02006800,2026,14682
E02006801,1720,8567
E02006802,1520,9278
E02006836,680,8720
E02006853,2187,11015
E02006854,1806,7074
E02006882,2414,14394
E02006918,1295,8399
E02006921,988,7926
E02006924,1684,13597
E02006925,1315,14420
E02006927,1799,12368
E02006928,2274,12093
E02006930,1777,9846
E02006931,1361,9461
E02006941,1238,5313
E02006942,1228,6746
E02006953,2113,9167
E02006954,2377,10114
E02006955,1460,7508
E02006956,1577,8829
E02006968,1566,8353
E02006969,1756,6424
E02006970,406,7343
E02006971,365,8299
E02006972,974,5412
E02006973,1492,8495
E02006987,1416,7373
E02006988,1150,7162
E02006991,1372,6317
E02006992,1514,8230
E02006993,1656,8401
E02006994,1414,7642
E02006995,1579,8638
E02006996,1760,8425
E02006997,1652,6888
E02006998,1521,7087
E02006999,2589,11244
E02007008,1308,5764
E02007009,1409,9142
E02007017,787,8817
E02007018,970,7273
E02007019,1210,7162
E02007020,1105,9840
E02007083,2070,7711
E02007084,1862,9890
E02007108,1354,5944
E02007109,1306,7612
E02007110,1810,7332
E02007111,1594,5948
E02007112,1444,5890
E02007113,1383,7461
E02007114,1689,7565
E02007115,2196,11587
